學校名稱,在學學生數小計,在學學生數女,在學學生數男,女生比例,男生比例
宏國學校財團法人宏國德霖科技大學,29010,11480,17530,40.0%,60.0%
正修學校財團法人正修科技大學,88337,34855,53482,39.0%,61.0%
國立中山大學,48057,18561,29496,39.0%,61.0%
國立臺東專科學校,5534,2134,3400,39.0%,61.0%
逢甲大學,104954,40841,64113,39.0%,61.0%
崑山科技大學,55832,21245,34587,38.0%,62.0%
明新學校財團法人明新科技大學,60942,23461,37481,38.0%,62.0%
國立體育大學,12683,4817,7866,38.0%,62.0%
大同大學,21046,7877,13169,37.0%,63.0%
國立成功大學,108163,39896,68267,37.0%,63.0%
城市學校財團法人臺北城市科技大學,49818,18343,31475,37.0%,63.0%
國立高雄科技大學,112757,40723,72034,36.0%,64.0%
中華大學學校財團法人中華大學,28453,10367,18086,36.0%,64.0%
華夏學校財團法人華夏科技大學,21035,7532,13503,36.0%,64.0%
南榮學校財團法人南榮科技大學,3861,1373,2488,36.0%,64.0%
國立宜蘭大學,27513,9689,17824,35.0%,65.0%
健行學校財團法人健行科技大學,55813,19409,36404,35.0%,65.0%
國立中央大學,59772,20961,38811,35.0%,65.0%
國立高雄應用科技大學,11822,4102,7720,35.0%,65.0%
大華學校財團法人敏實科技大學,7466,2596,4870,35.0%,65.0%
吳鳳科技大學,25102,8443,16659,34.0%,66.0%
亞東技術學院,17891,5826,12065,33.0%,67.0%
遠東科技大學,26157,8711,17446,33.0%,67.0%
和春技術學院,6007,1996,4011,33.0%,67.0%
東南科技大學,27773,9038,18735,33.0%,67.0%
國立陽明交通大學,78776,24881,53895,32.0%,68.0%
國立高雄海洋科技大學,7694,2469,5225,32.0%,68.0%
國立臺灣海洋大學,44118,14258,29860,32.0%,68.0%
國立聯合大學,38153,12164,25989,32.0%,68.0%
亞東學校財團法人亞東科技大學,4223,1366,2857,32.0%,68.0%
南開科技大學,21586,6999,14587,32.0%,68.0%
建國科技大學,35788,11412,24376,32.0%,68.0%
聖約翰科技大學,15076,4601,10475,31.0%,69.0%
中華學校財團法人中華科技大學,27005,8389,18616,31.0%,69.0%
國立臺灣科技大學,55830,16852,38978,30.0%,70.0%
龍華科技大學,57255,17438,39817,30.0%,70.0%
高苑科技大學,21687,6305,15382,29.0%,71.0%
修平學校財團法人修平科技大學,25620,6843,18777,27.0%,73.0%
明志科技大學,22622,6011,16611,27.0%,73.0%
國立臺北科技大學,67058,17986,49072,27.0%,73.0%
國立勤益科技大學,59630,15429,44201,26.0%,74.0%
國立虎尾科技大學,54144,12377,41767,23.0%,77.0%
